team,power_score_3yr_only,power_score_full_model,srs_2025,offense_2025,defense_2025,recruiting_3yr_avg,qb_returning_flag_2026,data_complete,rank
Ohio State,27.448,55.072,33.1909111571058,11.687728075983618,21.503183081122188,296.0266666666667,1,True,1
Oregon,25.388,53.91,31.25201150818884,17.228102110788605,14.023909397400235,297.5133333333334,1,True,2
Notre Dame,25.25,52.18,31.192391081088758,18.485740840414884,12.706650240673873,281.69,1,True,3
Georgia,20.961,51.724,23.011200335244272,9.9511521329537,13.060048202290572,304.5566666666667,1,True,4
Texas,18.322,49.054,17.007149647849097,7.3881493887815255,9.619000259067573,296.79,1,True,5
Alabama,19.312,46.486,21.13042982809771,10.2975810040503,10.832848824047408,304.31333333333333,0,True,6
USC,16.627,46.398,21.67011894252312,13.888201461293905,7.781917481229216,273.8233333333333,1,True,7
Texas A&M,16.276,45.789,21.481590220116487,12.697984641029741,8.783605579086748,270.24333333333334,1,True,8
Michigan,16.415,45.247,16.681483723815756,8.131027584979437,8.550456138836319,274.31,1,True,9
Miami,19.28,44.687,28.54228553485138,10.386519415172499,18.15576611967888,277.93666666666667,0,True,10
Ole Miss,18.828,43.898,22.447713462050793,16.236233648073608,6.211479813977186,242.85,1,True,11
Oklahoma,15.738,43.7,19.48669505980102,4.679574872429275,14.807120187371742,258.93,1,True,12
Washington,15.049,40.467,20.147501482966163,10.373802084103442,9.773699398862721,233.12333333333333,1,True,13
Tennessee,14.13,40.326,13.44901000372976,13.666263157985973,-0.217253154256212,278.6333333333333,0,True,14
Indiana,24.157,40.061,40.89896195199607,21.66223442371852,19.236727528277548,202.70000000000002,0,True,15
South Carolina,10.006,38.996,9.267969359560347,0.8272220256970865,8.44074733386326,246.8166666666667,1,True,16
LSU,12.431,38.888,10.027516999111494,-1.2729268089412242,11.30044380805272,277.6566666666667,0,True,17
Texas Tech,17.348,38.316,30.19952873702644,13.536997792358347,16.66253094466809,229.28666666666666,0,True,18
Utah,15.116,38.299,25.31529238472721,16.363419829163387,8.951872555563824,206.50333333333333,1,True,19
Penn State,18.322,37.879,18.302856850970553,9.059157491251657,9.243699359718896,238.45333333333335,0,True,20
BYU,11.335,36.84,17.609706391518493,7.721236559561827,9.888469831956668,212.4,1,True,21
Florida,8.431,36.229,7.796049869275419,-0.6979376957140645,8.493987564989483,269.0,0,True,22
Auburn,8.642,35.948,11.337020023807547,0.9974911806115558,10.33952884319599,262.75666666666666,0,True,23
